"","SRR23426222","SRR23426221","SRR23426220","SRR23426219","SRR23426218","SRR23426217","SRR23426216","SRR23426214","SRR23426213","SRR23426212","SRR23426215","SRR23426211","SRR23426210","SRR23426209","SRR23426208"
"CAETHG_RS06710",166.137150006051,161.175393464313,149.848900258313,159.960787217903,272.252647668093,145.907716704671,163.79657793957,190.459719212157,168.379776018845,130.141726451778,239.051191411675,210.65746718446,199.241364032425,146.826556477692,191.634121905061
"CAETHG_RS06715",46.5184020016943,38.9044053189722,53.0438584985178,68.1938092876323,105.220693986109,59.3522915408829,41.8458410794521,59.1489811217879,56.9007518960235,36.7791835624589,52.4746517732946,60.0260524772924,69.2344508220783,43.5041648822792,46.3956295138569
"CAETHG_RS06720",9.96822900036307,12.0418397415866,25.195832786796,14.3122809616018,26.4231339157941,20.6084345628066,11.9559545941292,9.46383697948606,4.6449593384509,12.7312558485435,11.6610337273988,21.5187735295954,13.8468901644157,11.9636453426268,7.06020449123909
"CAETHG_RS06725",1.10758100004034,0.926295364737434,0,2.52569664028268,7.54946683308404,3.29734953004905,0,4.73191848974303,0,2.82916796634299,2.9152584318497,2.26513405574688,5.38490173060609,2.17520824411396,3.02580192481675
"CAETHG_RS07690",3.32274300012102,2.7788860942123,2.65219292492589,7.57708992084803,8.02130851015179,5.77036167758584,4.78238183765167,7.09787773461455,4.6449593384509,8.48750389902898,15.5480449698651,2.26513405574688,6.92344508220783,5.4380206102849,7.06020449123909
"CAETHG_RS07695",6.64548600024204,3.70518145894973,7.95657877477767,7.57708992084803,34.4444424259459,14.0137355027085,16.7383364317808,27.2085313160224,9.2899186769018,4.24375194951449,12.6327865380154,10.193103250861,13.0776184886148,13.0512494646837,19.1634121905061
"CAETHG_RS07700",2.21516200008068,3.70518145894973,11.9348681621665,0,1.41552503120326,1.64867476502453,2.39119091882583,4.73191848974303,1.16123983461273,4.24375194951449,3.88701124246626,1.13256702787344,3.07708670320348,4.35041648822792,0
"CAETHG_RS07705",11.0758100004034,17.5996119300112,17.2392540120183,13.4703820815076,14.1552503120326,9.06771120763489,15.5427409723679,23.6595924487152,13.9348780153527,9.90208788220048,25.2655730760307,10.193103250861,13.8468901644157,9.78843709851281,17.1462109072949
"CAETHG_RS07710",36.5501730013312,35.1992238600225,33.1524115615736,43.7787417648997,45.768642675572,32.9734953004905,28.69429102591,36.6723682955085,38.3209145422199,41.0229355119734,60.2486742582271,41.9049800313173,51.5412022786583,31.5405195396524,33.2838211729843
"CAETHG_RS07715",44.3032400016136,41.6832914131845,62.3265337357584,52.197730565842,45.768642675572,28.8518083879292,32.2810774041488,60.3319607442237,46.449593384509,41.0229355119734,38.8701124246626,45.3026811149377,61.5417340640696,41.3289566381652,48.4128307970681
"CAETHG_RS07720",70.8851840025818,65.7669708963578,71.6092089729991,74.9290003283861,44.8249593214365,70.0686775135424,75.3225139430138,67.4298384788382,58.0619917306363,62.2416952595459,67.0509439325431,65.6888876166596,62.3110057398705,52.204997858735,63.5418404211518
"CAETHG_RS07725",43.1956590015733,34.272928495285,49.065569111129,15.9960787217903,16.5144586973713,23.9057840928556,34.6722683229746,23.6595924487152,20.9023170230291,28.2916796634299,20.4068090229479,36.2421448919501,22.3088785982252,27.1901030514245,38.3268243810122
"CAETHG_RS07730",379.900283013837,305.677470363353,393.850649351495,222.261304344876,218.934538159437,209.381695158115,278.57374204321,304.02576296599,272.89136113399,264.52720485307,223.50314644181,268.418385606006,262.321641448097,313.22998715241,350.993023278744
"CAETHG_RS07735",28.7971060010489,36.1255192247599,51.7177620360549,29.4664608032979,22.1765588221844,31.324820535466,21.5207182694325,37.8553479179443,27.8697560307054,18.3895917812295,34.9831011821964,28.314175696836,28.4630520046322,27.1901030514245,21.1806134737173
"CAETHG_RS07740",32.1198490011699,44.4621775073968,30.5002186366477,29.4664608032979,20.2891921139133,27.2031336229047,35.8678637823875,33.1234294282012,47.6108332191217,29.7062636466014,33.0395955609632,48.700382198558,35.38649708684,31.5405195396524,40.3440256642234
"CAETHG_RS07745",201.579742007342,166.733165652738,177.696925970035,123.759135373851,124.094361068819,96.4474737539348,137.493477832485,180.995882232671,149.799938665042,140.043814333978,152.565191266801,156.294249846535,140.007444995758,125.074474036553,158.350300732077
"CAETHG_RS07750",237.022334008633,176.92241466485,247.980038480571,192.794843541578,195.342454306049,161.570126972404,129.124309616595,221.217189395487,178.83093453036,140.043814333978,186.576539638381,218.585436379574,170.009040351992,159.877805942376,227.943745002862
"CAETHG_RS07755",208.225228007584,193.595731230124,240.023459705793,202.897630102708,165.616428650781,200.31398395048,205.642419019022,198.740576569207,183.475893868811,188.139669761809,197.265820555163,229.911106658309,227.704416037058,195.768741970256,132.126684050332
"CAETHG_RS07760",34.3350110012506,55.577721884246,23.869736324333,9.26088768103648,11.7960419266938,20.6084345628066,17.9339318911938,35.4893886730727,27.8697560307054,16.975007798058,33.0395955609632,29.4467427247095,18.4625202192209,22.8396865631966,16.1376102656894
"CAETHG_RS08395",58.7017930021381,42.6095867779219,46.4133761862031,36.2016518440517,92.0091270282117,56.0549420108339,37.0634592418004,81.6255939480673,63.8681909036999,46.6812714446594,89.4012585767241,72.4842897839003,56.1568323334635,43.5041648822792,78.6708500452356
"CAETHG_RS08555",465296.993278947,380378.560052603,453696.056605985,225172.590672241,169050.964218157,200750.058425829,418848.17491429,389931.37718803,537959.449502195,472096.18562374,259619.311401186,272728.935714092,229431.430949231,469235.922420263,412530.774225025
"CAETHG_RS08880",54.2714690019767,36.1255192247599,38.4567974114254,53.0396294459362,67.0015181436208,77.4877139561527,54.9973911329942,65.0638792339667,74.3193494152144,53.7541913605169,63.1639326900768,71.3517227560268,63.8495490914722,63.0810390793048,54.4644346467016
"CAETHG_RS09855",762.015728027754,441.842888979756,985.289671609969,940.40104906525,361.430724633898,608.36098829405,1249.3972550865,1046.93696585565,1000.98873743617,935.04001287636,594.712720097338,750.891939480092,829.274866513338,979.931313973338,904.71477552021
"CAETHG_RS09860",103.005033003752,88.9243550147936,139.240128558609,147.33230401649,72.6636182684339,101.393498049008,228.358732747867,133.676697335241,195.088292214938,188.139669761809,120.497348516454,167.619920125269,136.161086616754,169.666243040889,136.161086616754
"CAETHG_RS09945",56.4866310020574,31.4940424010727,30.5002186366477,33.675955203769,47.1841677067752,25.5544588578802,39.4546501606263,27.2085313160224,33.675955203769,31.1208476297729,29.152584318497,33.9770108362033,29.2323236804331,33.7157277837664,32.2752205313787
"CAETHG_RS09950",1485.2661210541,1269.02464969028,1340.68352355004,724.033036881034,1115.90556626523,898.527746938367,994.735422231547,1292.99672732228,1200.72198898956,820.458710239468,1058.23881076144,850.557837932955,716.19193017061,1058.23881076144,1417.08390145585
"CAETHG_RS09955",36.5501730013312,49.093654331084,54.3699549609808,26.098865282921,30.6697090094039,39.5681943605886,27.4986955664971,44.9532256525588,33.675955203769,36.7791835624589,43.7288764777455,39.6398459755705,31.5401387078357,31.5405195396524,56.4816359299127
"CAETHG_RS09960",2.21516200008068,1.85259072947487,3.97828938738884,4.20949440047113,0.943683354135505,3.29734953004905,5.97797729706459,7.09787773461455,2.32247966922545,4.24375194951449,2.9152584318497,6.79540216724065,6.92344508220783,2.17520824411396,3.02580192481675
"CAETHG_RS09965",39994.7499114567,78172.8447162862,146922.205365657,46576.3717434529,18635.8588774679,135119.613379733,104044.30366449,19260.0912328766,47774.5680358021,93376.6887291505,40071.1988985847,45871.2297629301,34007.1929721291,42214.2663935196,45518.14695566
"CAETHG_RS09970",1985.89273307233,2167.5311534856,1449.423433472,1236.74945485842,526.575311607612,1562.94367724325,2721.1752656238,1543.78840727866,3553.39389391494,3368.12446393133,1598.53337346425,1319.44058747256,1175.44712062373,1893.5187765012,1496.76335214269
"CAETHG_RS09985",166.137150006051,138.944304710615,148.52280379585,134.703820815076,152.876703369952,171.462175562551,192.49086896548,167.983106385878,174.185975191909,186.725085778638,120.497348516454,130.245208205446,166.931953648789,159.877805942376,154.315898165654
"CAETHG_RS10035",2.21516200008068,1.85259072947487,2.65219292492589,9.26088768103648,10.8523585725583,4.12168691256131,3.58678637823875,13.0127758467933,4.6449593384509,4.24375194951449,4.85876405308283,3.39770108362033,5.38490173060609,2.17520824411396,2.01720128321117
"CAETHG_RS10040",81.9609940029852,63.9143801668829,94.1528488348691,112.814449932626,102.389643923702,101.393498049008,89.6696594559688,72.1617569685812,74.3193494152144,50.9250233941739,61.2204270688437,86.0750941183816,73.0808092010827,64.1686432013618,85.7310545364747
"CAETHG_RS10045",204.902485007463,172.290937841163,224.110302156238,253.411562908362,294.429206490277,256.368925961314,274.986955664971,230.681026374973,222.958048245643,244.723029088669,199.209326176396,233.308807741929,226.935144361257,284.952279978929,201.720128321117
"CAETHG_RS10050",9.96822900036307,20.3784980242235,11.9348681621665,12.6284832014134,18.8736670827101,25.5544588578802,14.347145512955,10.6468166019218,10.4511585115145,21.2187597475725,27.2090786972639,11.3256702787344,11.5390751370131,19.5768741970256,8.06880513284468
"CAETHG_RS10055",59.8093740021784,36.1255192247599,33.1524115615736,45.4625395250882,45.768642675572,42.8655438906377,52.6062002141683,47.3191848974303,41.8046340460581,52.3396073773454,26.2373258866473,31.7118767804564,53.8490173060609,45.6793731263931,38.3268243810122
"CAETHG_RS10165",36.5501730013312,24.0836794831733,14.5870610870924,14.3122809616018,20.7610337909811,9.89204859014716,20.3251228100196,10.6468166019218,23.2247966922545,15.5604238148865,15.5480449698651,24.9164746132157,24.6166936256278,27.1901030514245,37.3182237394066
"CAETHG_RS10375",5.5379050002017,11.1155443768492,10.6087716997036,15.9960787217903,14.6270919891003,14.8380728852207,7.1735727564775,8.28085735705031,6.96743900767635,1.4145839831715,6.80226967431596,7.92796919511409,6.92344508220783,10.8760412205698,6.05160384963351
"CAETHG_RS10380",15.5061340005648,12.0418397415866,15.9131575495553,13.4703820815076,6.60578347894853,20.6084345628066,11.9559545941292,3.54893886730727,6.96743900767635,9.90208788220048,11.6610337273988,7.92796919511409,10.7698034612122,15.2264577087977,8.06880513284468
"CAETHG_RS10385",22.1516200008068,24.0836794831733,29.1741221741848,42.0949440047113,55.6773178939948,38.7438569780764,26.3031001070842,22.4766128262794,23.2247966922545,32.5354316129444,30.1243371291136,32.8444438083298,37.6943121142426,22.8396865631966,32.2752205313787
"CAETHG_RS10390",39.8729160014523,38.9044053189722,38.4567974114254,47.1463372852766,69.8325682060273,60.1766289233952,37.0634592418004,46.1362052749946,31.3534755345436,41.0229355119734,38.8701124246626,19.2536394738485,39.2328554658444,43.5041648822792,45.3870288722513
"CAETHG_RS10590",2.21516200008068,0,2.65219292492589,2.52569664028268,4.71841677067752,0.824337382512263,0,1.18297962243576,1.16123983461273,1.4145839831715,3.88701124246626,2.26513405574688,3.84635837900435,0,1.00860064160558
"CAETHG_RS10780",725.465555026423,1260.68799140765,157.805479033091,921.879273703177,77.8538767161791,460.804596824355,257.053023773777,294.561925986504,854.672518274966,1029.81713974885,679.25521462098,433.773171675528,213.088254196841,469.844980728615,301.57159184007
"CAETHG_RS10785",90355.350402291,31451.4328142948,62981.6253882151,36079.576506438,13081.8104967034,32385.7427467593,33969.2581928398,79331.7964601644,36365.3866607321,60445.1736009181,53233.5907183861,24942.5236548568,31762.4582221421,55965.932912808,67147.5877148918
"CAETHG_RS10790",2.21516200008068,0,0,2.52569664028268,0.943683354135505,6.5946990600981,2.39119091882583,5.91489811217879,1.16123983461273,0,1.94350562123313,1.13256702787344,1.53854335160174,2.17520824411396,0
"CAETHG_RS10795",0,0,1.32609646246295,0.841898880094226,0,2.47301214753679,1.19559545941292,1.18297962243576,2.32247966922545,1.4145839831715,2.9152584318497,2.26513405574688,0.76927167580087,0,0
