Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR23426213_2 - polya	(1, 8.272424543768893e-05)	(2, 0.00034928014740357545)	(3, 0.0011857141846068745)	(4, 0.0026655590196588653)	(5, 0.004411959756676743)	(6, 0.006617939635015114)	(7, 0.011112623637129546)	(8, 0.018980618536536403)	(9, 0.02605813731287201)	(10, 0.032951824432679425)	(11, 0.04003853479184144)	(12, 0.04823742667299905)	(13, 0.0546991093999652)	(14, 0.06236488947719104)	(15, 0.0694975577504851)	(16, 0.07710818833075249)	(17, 0.08392834278794863)	(18, 0.09146544070560472)	(19, 0.09892900596064955)	(20, 0.10665912711766026)	(21, 0.11273476336591719)	(22, 0.11881039961417413)	(23, 0.1255937877400646)	(24, 0.13311250249206788)	(25, 0.14061283407841835)	(26, 0.14904151553023623)	(27, 0.1564775060368018)	(28, 0.1622130537204816)	(29, 0.16769123708502187)	(30, 0.17393232182415416)	(31, 0.17975059375327163)	(32, 0.18470485689670654)	(33, 0.18979699378253762)	(34, 0.1947880232572782)	(35, 0.19951249683005287)	(36, 0.20439322731087653)	(37, 0.20918204196343607)	(38, 0.21374106704533538)	(39, 0.21790485406569904)	(40, 0.22189400101236093)	(41, 0.22574527421662668)	(42, 0.22909101036543986)	(43, 0.23281360141013588)	(44, 0.23652700087200546)	(45, 0.2403874656590976)	(46, 0.24405490720683515)	(47, 0.24740983493847477)	(48, 0.25085667849837845)	(49, 0.25411049881892755)	(50, 0.25707018848903157)	(51, 0.26033320039240704)	(52, 0.2630631004918508)	(53, 0.26588491641955864)	(54, 0.2686423912674816)	(55, 0.2715285482749743)	(56, 0.2740838083007162)	(57, 0.2766390683264582)	(58, 0.27914837043806806)	(59, 0.28189665370316463)	(60, 0.2851320908580609)	(61, 0.28797228995142155)	(62, 0.29129964293458194)	(63, 0.294507505340999)	(64, 0.2980554563119932)	(65, 0.30212732750409277)
SRR23426213_2 - polyg	(1, 0.7494173225856768)	(2, 0.7562190938772201)	(3, 0.758323966344468)	(4, 0.759243124627109)	(5, 0.760006026001701)	(6, 0.7612009317691343)	(7, 0.7627267345183183)	(8, 0.7643720278442457)	(9, 0.7668353720417236)	(10, 0.7682416842141643)	(11, 0.7697123374663898)	(12, 0.7706866452459893)	(13, 0.771642569859936)	(14, 0.7719826584245131)	(15, 0.772341130154743)	(16, 0.772699601884973)	(17, 0.7729937325354181)	(18, 0.7734073537626066)	(19, 0.7737474423271837)	(20, 0.7740599561432817)	(21, 0.7742989372967684)	(22, 0.7746482174441719)	(23, 0.775098605002666)	(24, 0.7754111188187639)	(25, 0.7756960578863826)	(26, 0.7760269548681334)	(27, 0.77769982294254)	(28, 0.7780031451758116)	(29, 0.7784259579858264)	(30, 0.7798598449067463)	(31, 0.7803653819621988)	(32, 0.7806319378641647)	(33, 0.7808984937661306)	(34, 0.7813856476559303)	(35, 0.781734927803334)	(36, 0.7820842079507375)	(37, 0.7824242965153146)	(38, 0.7826448945031486)	(39, 0.7829390251535936)	(40, 0.7833434547979556)	(41, 0.7837478844423177)	(42, 0.78402363192711)	(43, 0.7842074635836382)	(44, 0.7844372531542985)	(45, 0.7846027016451739)	(46, 0.7848049164673548)	(47, 0.7850071312895359)	(48, 0.7853196451056338)	(49, 0.7856045841732525)	(50, 0.7858987148236977)	(51, 0.786266378136754)	(52, 0.7866799993639425)	(53, 0.7870844290083046)	(54, 0.7874153259900553)	(55, 0.787792180885938)	(56, 0.7883161011070434)	(57, 0.7887481054998847)	(58, 0.7890606193159826)	(59, 0.7893087920522956)	(60, 0.7897224132794841)	(61, 0.7899981607642764)	(62, 0.7902463335005895)	(63, 0.7904117819914649)	(64, 0.7905588473166875)	(65, 0.7908070200530005)
SRR23426214_1 - illumina_universal_adapter	(1, 0.00017483044724687937)	(2, 0.00021853805905859924)	(3, 0.0003387339915408288)	(4, 0.0003715147003996187)	(5, 0.0006119065653640779)	(6, 0.0009943481687166265)	(7, 0.001103617198245926)	(8, 0.0012675207425398756)	(9, 0.0018575735019980934)	(10, 0.0024039186496445917)	(11, 0.003441974430172938)	(12, 0.004436322598889564)	(13, 0.005081009873112432)	(14, 0.0059114544975351095)	(15, 0.007069706210545685)	(16, 0.007659758970003903)	(17, 0.00822795792355626)	(18, 0.009364355830660977)	(19, 0.010500753737765694)	(20, 0.0115606633241999)	(21, 0.012828184066739775)	(22, 0.013494725146868503)	(23, 0.01446721950967927)	(24, 0.015636398125642777)	(25, 0.01644498894415959)	(26, 0.017657875171934817)	(27, 0.018990957332192273)	(28, 0.02024755117177922)	(29, 0.021963074935389224)	(30, 0.023908063661010757)	(31, 0.026596081787431527)	(32, 0.029994348605792743)	(33, 0.033545592065494984)	(34, 0.038080256790960915)	(35, 0.044297664571178064)	(36, 0.050077996233278015)	(37, 0.055530520806790065)	(38, 0.06068801900057301)	(39, 0.06620610499180264)	(40, 0.07200829045980844)	(41, 0.07853165152270764)	(42, 0.0858526765011707)	(43, 0.09201544976662321)	(44, 0.101095706120508)	(45, 0.10996835131828714)	(46, 0.12125584206866379)	(47, 0.13259796733380508)	(48, 0.14413677685209914)	(49, 0.15675734976273323)	(50, 0.17336624225118677)	(51, 0.19159231637667395)	(52, 0.21220045534589985)	(53, 0.23531085509134672)	(54, 0.26038809736832097)	(55, 0.2969058070370129)	(56, 0.3422524542916723)	(57, 0.3849766448376284)	(58, 0.4241386650209294)	(59, 0.45697400839448393)	(60, 0.4914702410168838)	(61, 0.5233112362217217)	(62, 0.5566819978399699)	(63, 0.5924348243019567)	(64, 0.6294879522153422)	(65, 0.6670437176645624)
SRR23426214_2 - illumina_universal_adapter	(1, 0.0001966842531527393)	(2, 0.00021853805905859924)	(3, 0.0003387339915408288)	(4, 0.0004152223122113385)	(5, 0.0007102486919404475)	(6, 0.0010926902952929961)	(7, 0.001191032421869366)	(8, 0.0013549359661633152)	(9, 0.0019449887256215333)	(10, 0.0024694800673621714)	(11, 0.003649585586278607)	(12, 0.004687641366806954)	(13, 0.005332328641029821)	(14, 0.006195553974311288)	(15, 0.007342878784368934)	(16, 0.007954785349733012)	(17, 0.00852298430328537)	(18, 0.009659382210390087)	(19, 0.010762999408636013)	(20, 0.011866616606881939)	(21, 0.013090429737610093)	(22, 0.013756970817738821)	(23, 0.014696684471690799)	(24, 0.015887716893560163)	(25, 0.01666352700321819)	(26, 0.017898267036899278)	(27, 0.019242276100109663)	(28, 0.020520723745602466)	(29, 0.022170686091494893)	(30, 0.024148455525975214)	(31, 0.026858327458301846)	(32, 0.030431424723909944)	(33, 0.03393896057180046)	(34, 0.0384408445884076)	(35, 0.04474566759224819)	(36, 0.05044951093367763)	(37, 0.05601130453671899)	(38, 0.061081387506878485)	(39, 0.06643556995381417)	(40, 0.07223775542181998)	(41, 0.07875018958176623)	(42, 0.08601658004546466)	(43, 0.09226676853454059)	(44, 0.10121590205299023)	(45, 0.10997927822124007)	(46, 0.12105915781551105)	(47, 0.1322045988274996)	(48, 0.14343745506311162)	(49, 0.15554446353495802)	(50, 0.1717381337112002)	(51, 0.18953805862152312)	(52, 0.2096981945696789)	(53, 0.2326774714796906)	(54, 0.2573285645415006)	(55, 0.29359495544227515)	(56, 0.33823135400499404)	(57, 0.3804091994033037)	(58, 0.41876262876808784)	(59, 0.45100791938218415)	(60, 0.4847174149919731)	(61, 0.5158481615048706)	(62, 0.5483666246927901)	(63, 0.5835075445894129)	(64, 0.6201126694817283)	(65, 0.6562260837411618)
SRR23426214_2 - polya	(1, 5.463451476464981e-05)	(2, 0.00044800302107012843)	(3, 0.0010162019746224864)	(4, 0.0024585531644092415)	(5, 0.004195930733925105)	(6, 0.006403165130416957)	(7, 0.010467973028906903)	(8, 0.01675094222684163)	(9, 0.02313225355135273)	(10, 0.028770535475064588)	(11, 0.03517370060548155)	(12, 0.042603994613473924)	(13, 0.04841710698443266)	(14, 0.05491861424142599)	(15, 0.061070460603925555)	(16, 0.06737528360776614)	(17, 0.07338508023187762)	(18, 0.0795369265943772)	(19, 0.0861804835897586)	(20, 0.09262735633198728)	(21, 0.09836398038227552)	(22, 0.10392577398531687)	(23, 0.10972795945332267)	(24, 0.11662283521662148)	(25, 0.12423888657481366)	(26, 0.13194235315662928)	(27, 0.13874981369630465)	(28, 0.14403843472552275)	(29, 0.14925056743407034)	(30, 0.1548451417459705)	(31, 0.15983873639545948)	(32, 0.16460286608293695)	(33, 0.16937792267336735)	(34, 0.17486322795573817)	(35, 0.17976940738160374)	(36, 0.18455539087498704)	(37, 0.18917747082407643)	(38, 0.19293632543988434)	(39, 0.1971541099797153)	(40, 0.20093481840142907)	(41, 0.20445328115227251)	(42, 0.20768764442633977)	(43, 0.2112607416919479)	(44, 0.21470271612212083)	(45, 0.21840693622316407)	(46, 0.2218052030415253)	(47, 0.22500678560673376)	(48, 0.22809909914241294)	(49, 0.2312569740958097)	(50, 0.234174457184242)	(51, 0.23694989053428622)	(52, 0.2394193706016484)	(53, 0.24203090040739864)	(54, 0.24432555002751394)	(55, 0.24705727576574643)	(56, 0.2497452938921672)	(57, 0.2523677506008704)	(58, 0.2546951809298445)	(59, 0.25755802950351214)	(60, 0.2603662435624151)	(61, 0.2632400190390357)	(62, 0.2667366279839733)	(63, 0.27004747957871106)	(64, 0.27379540729156604)	(65, 0.2780022649284441)
SRR23426214_2 - polyg	(1, 0.7814593184846921)	(2, 0.7879280450328267)	(3, 0.7898621068554952)	(4, 0.7905832824503886)	(5, 0.7912716773364231)	(6, 0.7922660255051398)	(7, 0.7936974497919737)	(8, 0.7951725816906192)	(9, 0.79722683944577)	(10, 0.7985708485089804)	(11, 0.7997618809308498)	(12, 0.8007562290995663)	(13, 0.8014009163737893)	(14, 0.8017942848800947)	(15, 0.8020456036480121)	(16, 0.802362483833647)	(17, 0.8025700949897527)	(18, 0.802832340660623)	(19, 0.8030071711078699)	(20, 0.8032366360698815)	(21, 0.803466101031893)	(22, 0.8037502005086692)	(23, 0.8041107883061158)	(24, 0.8043621070740332)	(25, 0.8046024989389977)	(26, 0.8048319639010093)	(27, 0.8064491455380429)	(28, 0.8067113912089132)	(29, 0.807214028744748)	(30, 0.8085798916138642)	(31, 0.8090497484408402)	(32, 0.8093447748205693)	(33, 0.8097381433268748)	(34, 0.8099457544829805)	(35, 0.8102517077656625)	(36, 0.810645076271968)	(37, 0.8109073219428383)	(38, 0.8112460559343792)	(39, 0.8114645939934377)	(40, 0.811726839664308)	(41, 0.8120218660440371)	(42, 0.8122513310060487)	(43, 0.8124152345503426)	(44, 0.8125682111916837)	(45, 0.812677480221213)	(46, 0.8128850913773187)	(47, 0.8130380680186596)	(48, 0.8132675329806712)	(49, 0.8134860710397298)	(50, 0.8138138781283177)	(51, 0.8141198314109998)	(52, 0.8144585654025406)	(53, 0.8148628608117989)	(54, 0.8153327176387749)	(55, 0.8155512556978336)	(56, 0.8158025744657509)	(57, 0.8162396505838682)	(58, 0.8165565307695031)	(59, 0.8168515571492322)	(60, 0.8172121449466789)	(61, 0.8174743906175492)	(62, 0.8177475631913724)	(63, 0.8179551743474781)	(64, 0.8180862971829133)	(65, 0.8182939083390189)
SRR23426215_1 - illumina_universal_adapter	(1, 8.294263034512117e-05)	(2, 9.331045913826132e-05)	(3, 0.00014514960310396205)	(4, 0.00016588526069024234)	(5, 0.0002902992062079241)	(6, 0.000425080980518746)	(7, 0.0005183914396570073)	(8, 0.0006635410427609694)	(9, 0.000850161961037492)	(10, 0.001057518536900295)	(11, 0.0015759099765573024)	(12, 0.002032094443455469)	(13, 0.0023534971360428133)	(14, 0.002747474630182139)	(15, 0.003390280015356828)	(16, 0.0037738896807030134)	(17, 0.004033085400531517)	(18, 0.004541109011395384)	(19, 0.00492471867674157)	(20, 0.005526052746743698)	(21, 0.005982237213641865)	(22, 0.00634511122140177)	(23, 0.006853134832265637)	(24, 0.007495940217440327)	(25, 0.007972860341924773)	(26, 0.008688240528651444)	(27, 0.009548770318482076)	(28, 0.010336725306760726)	(29, 0.01121799075417764)	(30, 0.012265141462284794)	(31, 0.013540384403841033)	(32, 0.015064455236432633)	(33, 0.016837353960059597)	(34, 0.019481150302310336)	(35, 0.023172097352668227)	(36, 0.02671789479992216)	(37, 0.029890450410623045)	(38, 0.03301116687735823)	(39, 0.036183722488059115)	(40, 0.039812462565658166)	(41, 0.0439284905965348)	(42, 0.04809635777137714)	(43, 0.05263746678277253)	(44, 0.05858860051003497)	(45, 0.06406281411281296)	(46, 0.07174537524852982)	(47, 0.07909616586286618)	(48, 0.08692387660168699)	(49, 0.09505225437550886)	(50, 0.10662275130865327)	(51, 0.12022534268525314)	(52, 0.13605701725237815)	(53, 0.15391041843416547)	(54, 0.17345377570923465)	(55, 0.19917635894501537)	(56, 0.2314928812932332)	(57, 0.2610930324976483)	(58, 0.2895838260211974)	(59, 0.317514756789917)	(60, 0.34796506995536963)	(61, 0.3779488308251309)	(62, 0.409767697391278)	(63, 0.4424574615760489)	(64, 0.4754271571382346)	(65, 0.5139643767623365)
SRR23426215_2 - illumina_universal_adapter	(1, 8.294263034512117e-05)	(2, 0.00010367828793140146)	(3, 0.00014514960310396205)	(4, 0.0001555174318971022)	(5, 0.00027993137741478397)	(6, 0.0003939774941393256)	(7, 0.00046655229569130663)	(8, 0.0006013340700021285)	(9, 0.000777587159485511)	(10, 0.0009434724201757533)	(11, 0.0014203925446602001)	(12, 0.001835105696385806)	(13, 0.0020943014162143098)	(14, 0.002415704108801654)	(15, 0.0029755668636312223)	(16, 0.0032969695562185667)	(17, 0.0034835904744950894)	(18, 0.003981246256565816)	(19, 0.004354488093118862)	(20, 0.004852143875189589)	(21, 0.005287592684501475)	(22, 0.0055675240619162585)	(23, 0.006054812015193846)	(24, 0.0066457782564028345)	(25, 0.00711233055209414)	(26, 0.007827710738820812)	(27, 0.008553458754340621)	(28, 0.009310310256239851)	(29, 0.010067161758139083)	(30, 0.010979530691935415)	(31, 0.012099256201594551)	(32, 0.01345744177349591)	(33, 0.014971144777294372)	(34, 0.017189860139026365)	(35, 0.02037278357852039)	(36, 0.02338982175732417)	(37, 0.025981778955609207)	(38, 0.028625575297859945)	(39, 0.03131084295528325)	(40, 0.03434861679167331)	(41, 0.03796698904047922)	(42, 0.041709775234802814)	(43, 0.04555623971705781)	(44, 0.050719418456041596)	(45, 0.05521905615226442)	(46, 0.06164711000401131)	(47, 0.06777449682075715)	(48, 0.074347700275608)	(49, 0.08095200721683826)	(50, 0.09066666279601059)	(51, 0.10204017098208533)	(52, 0.11550798058437438)	(53, 0.1309042063421875)	(54, 0.14767935332948826)	(55, 0.16973172517249735)	(56, 0.19769375942759632)	(57, 0.2224313989280287)	(58, 0.2466299113312178)	(59, 0.26966722690957523)	(60, 0.2951306144255274)	(61, 0.32034517405044427)	(62, 0.3476436672627823)	(63, 0.3764662313077119)	(64, 0.4049984961464336)	(65, 0.4378852490782741)
SRR23426215_2 - polya	(1, 4.1471315172560586e-05)	(2, 0.00016588526069024234)	(3, 0.0003836096653461854)	(4, 0.0010056793929345941)	(5, 0.0018454735251789462)	(6, 0.0030585094939763434)	(7, 0.005318696170880896)	(8, 0.009061482365204489)	(9, 0.013156774738494846)	(10, 0.0169928713919567)	(11, 0.020673450613521452)	(12, 0.02471690384284611)	(13, 0.02831454043406574)	(14, 0.03252387892408064)	(15, 0.03670211392771612)	(16, 0.04109807333600754)	(17, 0.0449341699894694)	(18, 0.04939233637051966)	(19, 0.053757192292431664)	(20, 0.05812204821434366)	(21, 0.0623417545331517)	(22, 0.06571129889092225)	(23, 0.06956813120197039)	(24, 0.07394335495267552)	(25, 0.07818379692906985)	(26, 0.08254865285098185)	(27, 0.08733858975341259)	(28, 0.0908740193718734)	(29, 0.09419172458567823)	(30, 0.09825591347258918)	(31, 0.10197796400932649)	(32, 0.10508831264726853)	(33, 0.1081779256276243)	(34, 0.11143342386867029)	(35, 0.11465781862333688)	(36, 0.11778890291886521)	(37, 0.12064005583697875)	(38, 0.12319054172009122)	(39, 0.12604169463820478)	(40, 0.12851960571976526)	(41, 0.13102862028770518)	(42, 0.13326807130702345)	(43, 0.13551789015513485)	(44, 0.13771586985928058)	(45, 0.13988274607704687)	(46, 0.1420599901236063)	(47, 0.1441853950262)	(48, 0.14655962781982912)	(49, 0.14901680324380334)	(50, 0.1515154499829501)	(51, 0.15391041843416547)	(52, 0.15614986945348375)	(53, 0.1582752743560775)	(54, 0.15989265564780736)	(55, 0.16166555437143432)	(56, 0.16360433835575153)	(57, 0.16565716845679326)	(58, 0.16732638889248883)	(59, 0.1694621616238757)	(60, 0.17159793435526258)	(61, 0.1736507644563043)	(62, 0.17589021547562259)	(63, 0.17823334478287226)	(64, 0.18034838185667285)	(65, 0.1827640859654745)
SRR23426215_2 - polyg	(1, 0.9681789561898063)	(2, 0.9784949458389808)	(3, 0.9804233619945049)	(4, 0.9813357309283012)	(5, 0.9823103068348563)	(6, 0.9834818714884812)	(7, 0.9850370458074522)	(8, 0.9868410480174586)	(9, 0.988572475425913)	(10, 0.9899721323129869)	(11, 0.9912059039393706)	(12, 0.9921908476747189)	(13, 0.9931032166085152)	(14, 0.9934349871298958)	(15, 0.9937045506785174)	(16, 0.9940155855423116)	(17, 0.9942851490909332)	(18, 0.9945754482971412)	(19, 0.9947309657290383)	(20, 0.9949072188185216)	(21, 0.9951664145383501)	(22, 0.99552928854611)	(23, 0.9956951738068003)	(24, 0.9958403234099042)	(25, 0.9960580478145602)	(26, 0.9961513582736985)	(27, 0.9972399802969781)	(28, 0.9974058655576684)	(29, 0.997602854304738)	(30, 0.998556694553707)	(31, 0.9988988329038806)	(32, 0.9991787642812954)	(33, 0.9994172243435376)	(34, 0.9998837766392289)	(35, 1.00018444367423)	(36, 1.0004332715652653)	(37, 1.0006509959699212)	(38, 1.0008583525457841)	(39, 1.0010864447792331)	(40, 1.0013145370126821)	(41, 1.0015529970749244)	(42, 1.0017085145068216)	(43, 1.0019262389114776)	(44, 1.0020713885145816)	(45, 1.002175066802513)	(46, 1.0022787450904442)	(47, 1.0023824233783756)	(48, 1.0025483086390659)	(49, 1.0028697113316534)	(50, 1.0030355965923434)	(51, 1.0032740566545857)	(52, 1.0034710454016553)	(53, 1.0037095054638976)	(54, 1.0039479655261399)	(55, 1.0042901038763135)	(56, 1.0044663569657968)	(57, 1.0047981274871773)	(58, 1.0050365875494196)	(59, 1.0052335762964892)	(60, 1.0054098293859726)	(61, 1.0055549789890765)	(62, 1.0056793929345942)	(63, 1.0058349103664914)	(64, 1.0059696921408021)	(65, 1.0060733704287335)
SRR23426216_1 - illumina_universal_adapter	(1, 9.628749649085568e-05)	(2, 0.00011768471793326806)	(3, 0.00020327360370291756)	(4, 0.00021397221442412374)	(5, 0.0003316569323573918)	(6, 0.00046004026101186603)	(7, 0.0005456291467815155)	(8, 0.0007061083075996083)	(9, 0.000973573575629763)	(10, 0.0012838332865447424)	(11, 0.0019150513190959075)	(12, 0.0026425568481379283)	(13, 0.0030811998877073817)	(14, 0.003776609584585784)	(15, 0.004664594274445898)	(16, 0.0051781275890637945)	(17, 0.0055418803535848046)	(18, 0.0064298650434449186)	(19, 0.007168069183208146)	(20, 0.007874177490807753)	(21, 0.008494696912637713)	(22, 0.008986833005813197)	(23, 0.009725037145576425)	(24, 0.010345556567406383)	(25, 0.011008870432121166)	(26, 0.011768471793326806)	(27, 0.012720648147514156)	(28, 0.013961686991174074)	(29, 0.01523482166699761)	(30, 0.016818216053736127)	(31, 0.019032828473025808)	(32, 0.021825165871260623)	(33, 0.02479937965175594)	(34, 0.028757865618602232)	(35, 0.03357224044314502)	(36, 0.038461505542736245)	(37, 0.043425660917375916)	(38, 0.04827213157408232)	(39, 0.05281904113059495)	(40, 0.058649783973652315)	(41, 0.06453401987031572)	(42, 0.07132763767828165)	(43, 0.07791798188254466)	(44, 0.08547120105171623)	(45, 0.09351655631406328)	(46, 0.10341277123117901)	(47, 0.1129238361623313)	(48, 0.12298053024026512)	(49, 0.13441734510123454)	(50, 0.1500694125863592)	(51, 0.16641688976836225)	(52, 0.18459382938369154)	(53, 0.20638689942278857)	(54, 0.22922843331256376)	(55, 0.26040418495415857)	(56, 0.30009603072983354)	(57, 0.33499489890240813)	(58, 0.36629903387265744)	(59, 0.3953029675378474)	(60, 0.4255158442145337)	(61, 0.45474444870486896)	(62, 0.48498942121371885)	(63, 0.5141431354290057)	(64, 0.545554256506467)	(65, 0.5787306483529275)
SRR23426216_2 - illumina_universal_adapter	(1, 0.00013908193937568042)	(2, 0.00014978055009688663)	(3, 0.00020327360370291756)	(4, 0.0002460680465877423)	(5, 0.00034235554307859796)	(6, 0.00047073887173307223)	(7, 0.0005563277575027217)	(8, 0.0007061083075996083)	(9, 0.0009521763541873507)	(10, 0.0012089430114962992)	(11, 0.0018722568762110827)	(12, 0.0025462693516470724)	(13, 0.0029849123912165263)	(14, 0.003658924866652516)	(15, 0.004525512335070217)	(16, 0.005006949817524495)	(17, 0.005413497024930331)	(18, 0.006290783104069238)	(19, 0.007028987243832465)	(20, 0.00774579416215328)	(21, 0.008409108026868064)	(22, 0.008890545509322341)	(23, 0.00954316076331592)	(24, 0.010152981574424671)	(25, 0.01080559682841825)	(26, 0.01153310235746027)	(27, 0.012431785658041589)	(28, 0.0136621258909803)	(29, 0.014892466123919012)	(30, 0.016433066067772704)	(31, 0.018529993769129116)	(32, 0.021226043670873076)	(33, 0.024114668565598747)	(34, 0.02803036008956021)	(35, 0.03241679048525475)	(36, 0.03712417920258547)	(37, 0.04197064985929187)	(38, 0.04663524413373777)	(39, 0.05111796202592316)	(40, 0.05655285627229591)	(41, 0.06210543523660192)	(42, 0.06850320444788321)	(43, 0.07497586393421296)	(44, 0.08236860394256644)	(45, 0.0902748772655378)	(46, 0.09998921580039302)	(47, 0.10904024047053346)	(48, 0.11871178456250385)	(49, 0.12960297027669174)	(50, 0.1447415044471985)	(51, 0.16057544831458367)	(52, 0.17788580046149527)	(53, 0.1988550774750594)	(54, 0.2209691058357926)	(55, 0.25137455750546056)	(56, 0.28908716029771236)	(57, 0.3223598396406636)	(58, 0.352112676056338)	(59, 0.37928714728820173)	(60, 0.4080129170746404)	(61, 0.43587209939266125)	(62, 0.4649830191650633)	(63, 0.4927138181544297)	(64, 0.5231406670455402)	(65, 0.5541024464727108)
SRR23426216_2 - polya	(1, 4.2794442884824745e-05)	(2, 0.00023536943586653612)	(3, 0.0007061083075996083)	(4, 0.0016261888296233405)	(5, 0.0026104610159743097)	(6, 0.003990581799009908)	(7, 0.006868508083014372)	(8, 0.011597294021787507)	(9, 0.015919532753154806)	(10, 0.01997430621649195)	(11, 0.024392832444350105)	(12, 0.029271398933220127)	(13, 0.03347595294665416)	(14, 0.03812984861037885)	(15, 0.042526977616794595)	(16, 0.047608817709367535)	(17, 0.051674289783425885)	(18, 0.055996528514793184)	(19, 0.06057553390346943)	(20, 0.06550759344594548)	(21, 0.06935909330557971)	(22, 0.07300731956151102)	(23, 0.07659135415311509)	(24, 0.08121315398467617)	(25, 0.08533211911234055)	(26, 0.09001811060822885)	(27, 0.0944152396146446)	(28, 0.09800997281696988)	(29, 0.10152981574424672)	(30, 0.10467520729628134)	(31, 0.10804526967346129)	(32, 0.11106227789684142)	(33, 0.11386531390579745)	(34, 0.11700000684711086)	(35, 0.1194820845344307)	(36, 0.12202835388607777)	(37, 0.12460671906988846)	(38, 0.1267678384355721)	(39, 0.12884336891548612)	(40, 0.13134684382424835)	(41, 0.13340097708271995)	(42, 0.13545511034119154)	(43, 0.1379906810821174)	(44, 0.1403871698836676)	(45, 0.1426445767458421)	(46, 0.144559628064938)	(47, 0.14645328216259149)	(48, 0.14850741542106308)	(49, 0.15056154867953467)	(50, 0.15250869583079418)	(51, 0.1547768013036899)	(52, 0.15669185262278582)	(53, 0.15853201366683328)	(54, 0.16024379138222627)	(55, 0.16205185659411012)	(56, 0.1635817579272426)	(57, 0.16540052174984765)	(58, 0.1668662314186529)	(59, 0.16847102302683384)	(60, 0.17058934794963265)	(61, 0.17241881038295892)	(62, 0.17438735475566086)	(63, 0.17598144775312058)	(64, 0.1777574171328408)	(65, 0.17942640040534896)
SRR23426216_2 - polyg	(1, 0.455471954233911)	(2, 0.46130269707696836)	(3, 0.4628753928529857)	(4, 0.4633033372818339)	(5, 0.4637526789321246)	(6, 0.4644908830718878)	(7, 0.4656677302512205)	(8, 0.46668409826973506)	(9, 0.4679144385026738)	(10, 0.4687489301389279)	(11, 0.4694978328894123)	(12, 0.47016114675412707)	(13, 0.4707174745116298)	(14, 0.47092074811533274)	(15, 0.4710812272761508)	(16, 0.47124170643696894)	(17, 0.4714449800406718)	(18, 0.4716161578122111)	(19, 0.4717338425301444)	(20, 0.4719050203016837)	(21, 0.47204410224105936)	(22, 0.47226877306620474)	(23, 0.4723971563948592)	(24, 0.47265392305216813)	(25, 0.47278230638082264)	(26, 0.47301767581668913)	(27, 0.4736167980170767)	(28, 0.473787975788616)	(29, 0.47400194800304013)	(30, 0.47474015214280335)	(31, 0.4750290146322759)	(32, 0.4752643840681424)	(33, 0.47547835628256657)	(34, 0.47569232849699067)	(35, 0.4760025882079057)	(36, 0.4761951632008874)	(37, 0.4763877381938691)	(38, 0.47660171040829324)	(39, 0.47681568262271734)	(40, 0.47701895622642027)	(41, 0.47717943538723834)	(42, 0.4773720103802201)	(43, 0.4775645853732018)	(44, 0.47767157148041384)	(45, 0.4777571603661835)	(46, 0.477939036748444)	(47, 0.47804602285565606)	(48, 0.47819580340575296)	(49, 0.47854885755955273)	(50, 0.4787949256061405)	(51, 0.4789340075455162)	(52, 0.4791800755921039)	(53, 0.47939404780652806)	(54, 0.4797150061281642)	(55, 0.4799396769533095)	(56, 0.4801643477784549)	(57, 0.480378319992879)	(58, 0.4806029908180243)	(59, 0.48080626442172725)	(60, 0.4809881408039878)	(61, 0.48117001718624824)	(62, 0.48133049634706637)	(63, 0.48144818106499965)	(64, 0.4815765643936541)	(65, 0.4816086602258177)
