Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR23426218_1	(16.0, 1.0)	(17.0, 22.0)	(18.0, 126.0)	(19.0, 486.0)	(20.0, 1779.0)	(21.0, 4865.0)	(22.0, 11188.0)	(23.0, 22998.0)	(24.0, 44835.0)	(25.0, 81932.0)	(26.0, 139543.0)	(27.0, 215202.0)	(28.0, 300844.0)	(29.0, 407676.0)	(30.0, 544094.0)	(31.0, 731695.0)	(32.0, 1041398.0)	(33.0, 1685100.0)	(34.0, 3319012.0)	(35.0, 3497939.0)														
SRR23426218_2	(2.0, 12.0)	(3.0, 22.0)	(4.0, 17.0)	(5.0, 35.0)	(6.0, 28.0)	(7.0, 20.0)	(8.0, 15.0)	(9.0, 27.0)	(10.0, 31.0)	(11.0, 17.0)	(12.0, 25.0)	(13.0, 26.0)	(14.0, 107.0)	(15.0, 1824.0)	(16.0, 8072.0)	(17.0, 14674.0)	(18.0, 18600.0)	(19.0, 22195.0)	(20.0, 28568.0)	(21.0, 37905.0)	(22.0, 51338.0)	(23.0, 72671.0)	(24.0, 108513.0)	(25.0, 159962.0)	(26.0, 228645.0)	(27.0, 314084.0)	(28.0, 414764.0)	(29.0, 537363.0)	(30.0, 690323.0)	(31.0, 914056.0)	(32.0, 1283957.0)	(33.0, 1975916.0)	(34.0, 3151240.0)	(35.0, 2015683.0)
SRR23426219_1	(16.0, 1.0)	(17.0, 12.0)	(18.0, 93.0)	(19.0, 397.0)	(20.0, 1340.0)	(21.0, 3469.0)	(22.0, 8314.0)	(23.0, 18646.0)	(24.0, 37080.0)	(25.0, 70209.0)	(26.0, 122180.0)	(27.0, 191848.0)	(28.0, 276866.0)	(29.0, 380213.0)	(30.0, 506389.0)	(31.0, 678347.0)	(32.0, 955513.0)	(33.0, 1529221.0)	(34.0, 2980684.0)	(35.0, 3127891.0)														
SRR23426219_2	(2.0, 9.0)	(3.0, 8.0)	(4.0, 15.0)	(5.0, 26.0)	(6.0, 21.0)	(7.0, 17.0)	(8.0, 16.0)	(9.0, 16.0)	(10.0, 16.0)	(11.0, 25.0)	(12.0, 18.0)	(13.0, 23.0)	(14.0, 61.0)	(15.0, 925.0)	(16.0, 3764.0)	(17.0, 7306.0)	(18.0, 10011.0)	(19.0, 12941.0)	(20.0, 18840.0)	(21.0, 27366.0)	(22.0, 40595.0)	(23.0, 61136.0)	(24.0, 94652.0)	(25.0, 143507.0)	(26.0, 208514.0)	(27.0, 286758.0)	(28.0, 378339.0)	(29.0, 489343.0)	(30.0, 630603.0)	(31.0, 831380.0)	(32.0, 1160441.0)	(33.0, 1773914.0)	(34.0, 2837467.0)	(35.0, 1870640.0)
SRR23426220_1	(16.0, 1.0)	(17.0, 18.0)	(18.0, 109.0)	(19.0, 392.0)	(20.0, 1216.0)	(21.0, 3270.0)	(22.0, 7789.0)	(23.0, 16692.0)	(24.0, 33437.0)	(25.0, 62500.0)	(26.0, 109222.0)	(27.0, 170983.0)	(28.0, 245595.0)	(29.0, 336674.0)	(30.0, 449243.0)	(31.0, 603135.0)	(32.0, 848251.0)	(33.0, 1349059.0)	(34.0, 2590275.0)	(35.0, 2617583.0)														
SRR23426220_2	(2.0, 14.0)	(3.0, 14.0)	(4.0, 15.0)	(5.0, 26.0)	(6.0, 11.0)	(7.0, 24.0)	(8.0, 19.0)	(9.0, 18.0)	(10.0, 17.0)	(11.0, 16.0)	(12.0, 14.0)	(13.0, 22.0)	(14.0, 72.0)	(15.0, 1254.0)	(16.0, 4960.0)	(17.0, 7973.0)	(18.0, 9888.0)	(19.0, 12385.0)	(20.0, 16834.0)	(21.0, 23260.0)	(22.0, 31401.0)	(23.0, 44831.0)	(24.0, 66997.0)	(25.0, 102214.0)	(26.0, 150193.0)	(27.0, 213039.0)	(28.0, 288218.0)	(29.0, 383679.0)	(30.0, 502442.0)	(31.0, 668637.0)	(32.0, 943929.0)	(33.0, 1479464.0)	(34.0, 2556975.0)	(35.0, 1936589.0)
SRR23426221_1	(16.0, 1.0)	(17.0, 10.0)	(18.0, 70.0)	(19.0, 296.0)	(20.0, 1059.0)	(21.0, 3259.0)	(22.0, 7630.0)	(23.0, 17034.0)	(24.0, 34063.0)	(25.0, 65058.0)	(26.0, 112544.0)	(27.0, 176450.0)	(28.0, 255298.0)	(29.0, 351359.0)	(30.0, 474910.0)	(31.0, 645926.0)	(32.0, 927899.0)	(33.0, 1517050.0)	(34.0, 2968121.0)	(35.0, 2985612.0)														
SRR23426221_2	(2.0, 3.0)	(3.0, 12.0)	(4.0, 21.0)	(5.0, 19.0)	(6.0, 13.0)	(7.0, 9.0)	(8.0, 17.0)	(9.0, 23.0)	(10.0, 23.0)	(11.0, 22.0)	(12.0, 22.0)	(13.0, 28.0)	(14.0, 78.0)	(15.0, 1012.0)	(16.0, 3887.0)	(17.0, 7341.0)	(18.0, 10599.0)	(19.0, 14942.0)	(20.0, 25377.0)	(21.0, 45716.0)	(22.0, 80826.0)	(23.0, 133456.0)	(24.0, 201773.0)	(25.0, 283468.0)	(26.0, 373511.0)	(27.0, 471589.0)	(28.0, 578887.0)	(29.0, 709544.0)	(30.0, 877673.0)	(31.0, 1111170.0)	(32.0, 1431020.0)	(33.0, 1792590.0)	(34.0, 1810347.0)	(35.0, 578631.0)
SRR23426222_1	(16.0, 2.0)	(17.0, 15.0)	(18.0, 110.0)	(19.0, 446.0)	(20.0, 1424.0)	(21.0, 4052.0)	(22.0, 9254.0)	(23.0, 19506.0)	(24.0, 37932.0)	(25.0, 70090.0)	(26.0, 119251.0)	(27.0, 184290.0)	(28.0, 258573.0)	(29.0, 353737.0)	(30.0, 474756.0)	(31.0, 639851.0)	(32.0, 914476.0)	(33.0, 1476027.0)	(34.0, 2874684.0)	(35.0, 2894057.0)														
SRR23426222_2	(2.0, 8.0)	(3.0, 17.0)	(4.0, 21.0)	(5.0, 25.0)	(6.0, 17.0)	(7.0, 24.0)	(8.0, 19.0)	(9.0, 15.0)	(10.0, 14.0)	(11.0, 16.0)	(12.0, 18.0)	(13.0, 22.0)	(14.0, 104.0)	(15.0, 1425.0)	(16.0, 6199.0)	(17.0, 11548.0)	(18.0, 14589.0)	(19.0, 17905.0)	(20.0, 23028.0)	(21.0, 30466.0)	(22.0, 41544.0)	(23.0, 59520.0)	(24.0, 90445.0)	(25.0, 135192.0)	(26.0, 194819.0)	(27.0, 267825.0)	(28.0, 355524.0)	(29.0, 461019.0)	(30.0, 595916.0)	(31.0, 790087.0)	(32.0, 1110498.0)	(33.0, 1700153.0)	(34.0, 2701941.0)	(35.0, 1722570.0)
